Data;pH;Turbidez;CondutividadeEletrica
12/07/2013;7,49;3,71;68,5
13/07/2013;7,56;3,66;123,1
15/07/2013;7,57;6,72;68
16/07/2013;;39;129,8
16/07/2013;8,25;7,48;159,3
16/07/2013;7,94;5,02;53,5
17/07/2013;8,4;38,8;
15/08/2013;6,5;42,7;0,0027
15/08/2013;7,18;3;0,058
16/08/2013;6,6;41,6;0,0028
18/08/2013;6,8;41,2;0,0044
18/08/2013;5,34;6,08;0,009
19/08/2013;5,6;10,3;0,011
20/08/2013;5,35;4,9;0,006
21/08/2013;5,65;8,28;0,01
22/08/2013;5,13;6,99;0,008
10/09/2013;8,1;40,4;0,0705
25/09/2013;8,2;19,1;193,10001
26/09/2013;6,94;6,86;56,2
01/10/2013;7,91;1,5;84,2
02/10/2013;7,8;5,9;115
02/10/2013;7,78;5,96;97,1
03/10/2013;7,59;3,02;38,9
05/10/2013;7,54;2,16;38,9
07/10/2013;7,1;5,71;20,87
07/10/2013;7,1;5,69;13,25
09/10/2013;7,61;4,82;62,1
10/10/2013;7,89;13,8;160,89999
10/10/2013;7,72;26,9;105,7
10/10/2013;7,57;6,3;121,8
11/10/2013;7,92;2,9;31,1
11/10/2013;8,12;6,8;45,2
11/10/2013;7,74;2,62;41,5
14/10/2013;8,24;24;221,3
14/10/2013;7,81;4,95;45,4
11/11/2013;8,3;0;0,0691
15/11/2013;7,2;1,7;0
15/11/2013;8,08;8,37;0,069
16/11/2013;6,8;0;0
